permno,ticker,name,weight,sector,MLScore,alt_alpha_score,SUEScore,ValueScore,RevMomScore,IntegratedScore,FinalScore,current_price
79857,PTEN,PATTERSON U T I ENERGY INC,0.009471153846153848,Energy,0.008204319155000651,0.5800640753000474,0.8594142259414226,0.2864102564102564,1.2353768090955732,0.7913557501894612,0.8697318007662835,11.0600004196167
76927,STRL,STERLING CONSTRUCTION CO INC,0.009471153846153848,Other,0.008462005480847551,3.61100755307125,0.7874476987447698,0.35490963824541216,1.2353768090955732,0.7688990056900911,0.8683908045977011,532.760009765625
85863,COLM,COLUMBIA SPORTSWEAR CO,0.009471153846153848,Shops,0.010960112132251308,0.16337472787748827,0.9866108786610879,0.7758333111199964,0.0,0.7365943110435975,0.8659961685823755,56.31999969482422
87717,EXPD,EXPEDITORS INTERNATIONAL WA INC,0.009471153846153848,Other,0.010504234899519866,-0.1345950029890727,0.9305439330543933,0.6232191732565425,1.2353768090955732,0.9146793183131667,0.8659003831417624,177.2100067138672
59045,KEX,KIRBY CORP,0.009471153846153848,Other,0.00899299603764321,0.05341879173852146,0.8485355648535565,0.6588309099028726,1.2353768090955732,0.878477649964289,0.8649425287356323,132.64999389648438
21957,RELY,REMITLY GLOBAL INC,0.009471153846153848,Other,0.010960112132251308,0.787378789539226,0.9903765690376569,0.481694253513723,0.0,0.6651306763491421,0.8643678160919541,23.610000610351562
24100,SEZL,SEZZLE INC,0.009471153846153848,Other,0.008039905550030544,3.276687231074977,0.7615062761506276,0.48580034132278854,1.2353768090955732,0.787353899032657,0.8639846743295019,128.27000427246094
78015,MTX,MINERALS TECHNOLOGIES INC,0.009471153846153848,Chemicals,0.010960112132251308,0.07575645943276578,0.9945606694560669,0.7624466571834994,0.0,0.7376200324967117,0.8618773946360153,73.83000183105469
82307,DVA,DAVITA INC,0.009471153846153848,Healthcare,0.008878558905401348,1.20373253584861,0.909205020920502,0.7284345587304267,0.0,0.6821714011888829,0.8574712643678161,178.33999633789062
89876,CRI,CARTERS INC,0.009471153846153848,Shops,0.010960112132251308,0.06567769515904276,0.9665271966527197,0.845275578657426,0.0,0.7429088528233524,0.8551724137931034,39.7400016784668
85269,VLO,VALERO ENERGY CORP NEW,0.009471153846153848,Energy,0.008114883737896834,0.37934103682595877,0.7707112970711297,0.6089743589743589,1.2353768090955732,0.8232101649518258,0.8549808429118774,323.9200134277344
24965,ULS,UL SOLUTIONS INC,0.009471153846153848,Other,0.008204319155000651,0.23569070510795742,0.8401673640167364,0.4082159520611284,1.2353768090955732,0.8112214000436018,0.8542145593869731,77.05000305175781
18542,CAT,CATERPILLAR INC,0.009471153846153848,Manufacturing,0.008204319155000651,0.9801562173047824,0.8066945606694561,0.2441032557090633,1.2353768090955732,0.7517831841145814,0.8530651340996169,843.3699951171875
93132,FTNT,FORTINET INC,0.009471153846153848,Other,0.010960112132251308,0.7279997399769477,0.9903765690376569,0.38216271539921265,0.0,0.6402477918205145,0.8507662835249042,161.88999938964844
17944,TENB,TENABLE HOLDINGS INC,0.009471153846153848,Other,0.008204319155000651,1.3244118134908305,0.9326359832635983,0.5614098994378796,0.0,0.653302265654449,0.8496168582375478,37.84000015258789
19880,MTZ,MASTEC INC,0.009471153846153848,Other,0.010960112132251308,1.033778297433955,0.9790794979079498,0.3366553259462104,0.0,0.622657555335925,0.8446360153256705,272.6499938964844
25245,CON,CONCENTRA GRP HLDGS PARENT INC,0.009471153846153848,Other,0.008114883737896834,0.38776085214615746,0.7489539748953975,0.6486998335016682,1.2353768090955732,0.8211750063870003,0.8436781609195403,33.029998779296875
21207,NEM,NEWMONT CORP,0.009471153846153848,Other,0.010960112132251308,-0.2782515188044377,0.9497907949790795,0.8099364739462196,1.2353768090955732,0.9719444175441634,0.843103448275862,117.20999908447266
14797,CDNA,CAREDX INC,0.009471153846153848,Healthcare,0.010960112132251308,0.6101231817844075,0.9866108786610879,0.3715007245459278,0.0,0.6355111644000804,0.842816091954023,47.22999954223633
77037,ODFL,OLD DOMINION FREIGHT LINE INC,0.009471153846153848,Other,0.008204319155000651,0.2757585766252035,0.8117154811715481,0.44162395816861016,1.2353768090955732,0.8039248660056186,0.8421455938697318,209.44000244140625
85035,QRVO,QORVO INC,0.009471153846153848,Business Equipment,0.00986574749027572,0.31438607702775623,0.9251046025104602,0.7856203214039817,0.0,0.7052126117317487,0.8398467432950192,96.68000030517578
46690,CBT,CABOT CORP,0.009471153846153848,Chemicals,0.009078227452192498,0.35468515355349317,0.8987447698744769,0.920578473210052,-0.0809270904354052,0.7082688236463943,0.8396551724137932,86.9800033569336
92611,V,VISA INC,0.009471153846153848,Other,0.010960112132251308,-0.3407932335806303,0.9761506276150628,0.5506869501698346,1.2353768090955732,0.9216299445498579,0.839272030651341,362.82000732421875
90829,CF,C F INDUSTRIES HOLDINGS INC,0.009471153846153848,Chemicals,0.009576070630073971,0.03360483346285561,0.7581589958158996,0.8596491228070176,1.2353768090955732,0.8789750902196138,0.8339080459770114,117.80000305175781
90634,AX,AXOS FINANCIAL INC,0.009471153846153848,Finance,0.009497837648265742,-0.30808292473623033,0.9422594142259414,0.5807313834831759,1.2353768090955732,0.9105008855141765,0.8323754789272031,100.16000366210938
84129,ZION,ZIONS BANCORPORATION N A,0.009471153846153848,Finance,0.008849029954560288,-0.08497381460632582,0.794560669456067,0.8316217138955274,1.2353768090955732,0.8919891584938333,0.832088122605364,71.0
14263,VCYT,VERACYTE INC,0.009471153846153848,Other,0.008204319155000651,0.6679248504770652,0.7623430962343096,0.40032185719253083,1.2353768090955732,0.7664445290461177,0.8314176245210728,46.40999984741211
23744,CR,CRANE CO NEW,0.009471153846153848,Business Equipment,0.008204319155000651,-0.2134624559032837,0.902092050209205,0.42793932616823493,1.2353768090955732,0.8502108209762362,0.8270114942528736,220.55999755859375
75654,CGNX,COGNEX CORP,0.009471153846153848,Business Equipment,0.010960112132251308,1.4502369543205975,0.9615062761506277,0.2968116777105541,0.0,0.6030313713104838,0.8245210727969349,62.900001525878906
85913,MAR,MARRIOTT INTERNATIONAL INC NEW,0.009471153846153848,Other,0.008204319155000651,0.07982939243197289,0.80418410041841,0.47077016723256354,1.2353768090955732,0.8070691588573811,0.8243295019157089,349.489990234375
41292,HCSG,HEALTHCARE SERVICES GROUP INC,0.009471153846153848,Other,0.010960112132251308,-0.020297052761166137,0.9648535564853556,0.702363597657763,0.0,0.7062603554813863,0.8241379310344827,20.959999084472656
13105,ACHC,ACADIA HEALTHCARE CO INC,0.009471153846153848,Other,0.008395601186449508,0.7676293531544085,0.896234309623431,0.6387181492502052,0.0,0.6526084076054384,0.8239463601532567,31.100000381469727
84769,APH,AMPHENOL CORP NEW,0.009471153846153848,Business Equipment,0.008204319155000651,0.13477914689091441,0.8242677824267782,0.3501286690203087,1.2353768090955732,0.7879548094089199,0.8235632183908046,167.22999572753906
88446,ILMN,ILLUMINA INC,0.009471153846153848,Business Equipment,0.010960112132251308,0.5001235332023006,0.9615062761506277,0.46010706955288944,-0.0809270904354052,0.6276698011839865,0.8231800766283525,192.83999633789062
